2018-03-07 15:56:23,196 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 15:56:23,198 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 15:56:32,796 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input]
2018-03-07 15:56:32,804 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 15:56:32,821 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 22.147 seconds
2018-03-07 16:00:31,270 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 16:00:31,272 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 16:00:31,428 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 16:00:31,502 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 16:00:31,503 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 16:00:31,546 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input]
2018-03-07 16:00:31,547 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 16:00:31,549 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.279 seconds
2018-03-07 16:00:36,551 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
2018-03-07 16:00:36,552 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 16:00:36,559 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input]
2018-03-07 16:00:36,560 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 16:00:36,564 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.296 seconds
2018-03-07 16:00:36,564 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.013 seconds
2018-03-07 16:00:55,198 | INFO | MarkerIgnoringBase.java 95 | Exchange[ExchangePattern: InOnly, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[employee.txt]]]
2018-03-07 16:00:55,207 | INFO | StaxConverter.java 338 | Created XMLInputFactory: com.sun.xml.internal.stream.XMLInputFactoryImpl@68b26691. DOMSource/DOMResult may have issues with com.sun.xml.internal.stream.XMLInputFactoryImpl@68b26691. We suggest using Woodstox.
2018-03-07 16:01:15,876 | INFO | MarkerIgnoringBase.java 95 | Exchange[ExchangePattern: InOnly, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[employee.txt]]]
2018-03-07 16:04:48,834 | INFO | MarkerIgnoringBase.java 95 | Exchange[ExchangePattern: InOnly, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[employee.txt]]]
2018-03-07 16:06:38,818 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 16:06:38,821 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 16:06:38,982 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 16:06:39,061 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 16:06:39,062 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 16:06:39,109 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input]
2018-03-07 16:06:39,110 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 16:06:39,112 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.294 seconds
2018-03-07 16:06:44,113 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
2018-03-07 16:06:44,114 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 16:06:44,119 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input]
2018-03-07 16:06:44,119 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 16:06:44,124 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.308 seconds
2018-03-07 16:06:44,124 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.011 seconds
2018-03-07 16:08:24,040 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 16:08:24,042 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 16:08:24,200 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 16:08:24,278 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 16:08:24,278 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 16:08:24,326 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input]
2018-03-07 16:08:24,326 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 16:08:24,329 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.289 seconds
2018-03-07 16:08:25,359 | INFO | StaxConverter.java 338 | Created XMLInputFactory: com.sun.xml.internal.stream.XMLInputFactoryImpl@73081238. DOMSource/DOMResult may have issues with com.sun.xml.internal.stream.XMLInputFactoryImpl@73081238. We suggest using Woodstox.
2018-03-07 16:08:29,331 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
